Reporting Date;Sale Month;Store;Artist;Title;ISRC;UPC;Quantity;Team Percentage;Song/Album;Country of Sale;Songwriter Royalties Withheld;Earnings (USD)
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;83;100;Song;FR;0;0.09015600
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;306;100;Song;GB;0;0.42684300
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;NO;0;0.00220900
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;725;100;Song;US;0;1.17681999
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;35;100;Song;ZA;0;0.03182300
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;66;100;Song;AT;0;0.07379600
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;97;100;Song;AU;0;0.19001200
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;15;100;Song;RO;0;0.00445400
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;60;100;Song;SE;0;0.06877700
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;90;100;Song;CH;0;0.21077500
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;32;100;Song;IN;0;0.02141100
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;IT;0;0.00864700
2020-09-25;2020-06;YouTube (Ads);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;SG;0;0.00189000
